file_path,relative_path,genre,emotion,file_size,filename
../data/raw/blues/blues_blues.00000.wav,blues/blues_blues.00000.wav,blues,melancholic,132,blues_blues.00000.wav
../data/raw/blues/blues_blues.00001.wav,blues/blues_blues.00001.wav,blues,melancholic,132,blues_blues.00001.wav
../data/raw/blues/blues_blues.00002.wav,blues/blues_blues.00002.wav,blues,melancholic,132,blues_blues.00002.wav
../data/raw/blues/blues_blues.00003.wav,blues/blues_blues.00003.wav,blues,melancholic,132,blues_blues.00003.wav
../data/raw/blues/blues_blues.00004.wav,blues/blues_blues.00004.wav,blues,melancholic,132,blues_blues.00004.wav
../data/raw/blues/blues_blues.00005.wav,blues/blues_blues.00005.wav,blues,melancholic,132,blues_blues.00005.wav
../data/raw/blues/blues_blues.00006.wav,blues/blues_blues.00006.wav,blues,melancholic,132,blues_blues.00006.wav
../data/raw/blues/blues_blues.00007.wav,blues/blues_blues.00007.wav,blues,melancholic,132,blues_blues.00007.wav
../data/raw/blues/blues_blues.00008.wav,blues/blues_blues.00008.wav,blues,melancholic,132,blues_blues.00008.wav
../data/raw/blues/blues_blues.00009.wav,blues/blues_blues.00009.wav,blues,melancholic,132,blues_blues.00009.wav
../data/raw/blues/blues_blues.00010.wav,blues/blues_blues.00010.wav,blues,melancholic,132,blues_blues.00010.wav
../data/raw/blues/blues_blues.00011.wav,blues/blues_blues.00011.wav,blues,melancholic,132,blues_blues.00011.wav
../data/raw/blues/blues_blues.00012.wav,blues/blues_blues.00012.wav,blues,melancholic,132,blues_blues.00012.wav
../data/raw/blues/blues_blues.00013.wav,blues/blues_blues.00013.wav,blues,melancholic,132,blues_blues.00013.wav
../data/raw/blues/blues_blues.00014.wav,blues/blues_blues.00014.wav,blues,melancholic,132,blues_blues.00014.wav
../data/raw/blues/blues_blues.00015.wav,blues/blues_blues.00015.wav,blues,melancholic,132,blues_blues.00015.wav
../data/raw/blues/blues_blues.00016.wav,blues/blues_blues.00016.wav,blues,melancholic,132,blues_blues.00016.wav
../data/raw/blues/blues_blues.00017.wav,blues/blues_blues.00017.wav,blues,melancholic,132,blues_blues.00017.wav
../data/raw/blues/blues_blues.00018.wav,blues/blues_blues.00018.wav,blues,melancholic,132,blues_blues.00018.wav
../data/raw/blues/blues_blues.00019.wav,blues/blues_blues.00019.wav,blues,melancholic,132,blues_blues.00019.wav
../data/raw/blues/blues_blues.00020.wav,blues/blues_blues.00020.wav,blues,melancholic,132,blues_blues.00020.wav
