original_file,genre,emotion,segment_id,start_time,end_time,duration
../data/raw/rock/rock_rock.00000.wav,rock,energetic,0,0,3,3
../data/raw/rock/rock_rock.00001.wav,rock,energetic,0,0,3,3
../data/raw/rock/rock_rock.00002.wav,rock,energetic,0,0,3,3
../data/raw/rock/rock_rock.00003.wav,rock,energetic,0,0,3,3
../data/raw/rock/rock_rock.00004.wav,rock,energetic,0,0,3,3
../data/raw/rock/rock_rock.00005.wav,rock,energetic,0,0,3,3
../data/raw/rock/rock_rock.00006.wav,rock,energetic,0,0,3,3
../data/raw/rock/rock_rock.00007.wav,rock,energetic,0,0,3,3
../data/raw/rock/rock_rock.00008.wav,rock,energetic,0,0,3,3
../data/raw/rock/rock_rock.00009.wav,rock,energetic,0,0,3,3
../data/raw/rock/rock_rock.00010.wav,rock,energetic,0,0,3,3
../data/raw/rock/rock_rock.00011.wav,rock,energetic,0,0,3,3
../data/raw/rock/rock_rock.00012.wav,rock,energetic,0,0,3,3
../data/raw/rock/rock_rock.00013.wav,rock,energetic,0,0,3,3
../data/raw/rock/rock_rock.00014.wav,rock,energetic,0,0,3,3
../data/raw/rock/rock_rock.00015.wav,rock,energetic,0,0,3,3
../data/raw/rock/rock_rock.00016.wav,rock,energetic,0,0,3,3
../data/raw/rock/rock_rock.00017.wav,rock,energetic,0,0,3,3
../data/raw/rock/rock_rock.00018.wav,rock,energetic,0,0,3,3
../data/raw/rock/rock_rock.00019.wav,rock,energetic,0,0,3,3
../data/raw/rock/rock_rock.00020.wav,rock,energetic,0,0,3,3
../data/raw/rock/rock_rock.00021.wav,rock,energetic,0,0,3,3
../data/raw/rock/rock_rock.00022.wav,rock,energetic,0,0,3,3
../data/raw/rock/rock_rock.00023.wav,rock,energetic,0,0,3,3
../data/raw/rock/rock_rock.00024.wav,rock,energetic,0,0,3,3
../data/raw/rock/rock_rock.00025.wav,rock,energetic,0,0,3,3
../data/raw/rock/rock_rock.00026.wav,rock,energetic,0,0,3,3
../data/raw/rock/rock_rock.00027.wav,rock,energetic,0,0,3,3
../data/raw/rock/rock_rock.00028.wav,rock,energetic,0,0,3,3
../data/raw/rock/rock_rock.00029.wav,rock,energetic,0,0,3,3
../data/raw/rock/rock_rock.00030.wav,rock,energetic,0,0,3,3
../data/raw/rock/rock_rock.00031.wav,rock,energetic,0,0,3,3
../data/raw/rock/rock_rock.00032.wav,rock,energetic,0,0,3,3
../data/raw/rock/rock_rock.00033.wav,rock,energetic,0,0,3,3
../data/raw/rock/rock_rock.00034.wav,rock,energetic,0,0,3,3
../data/raw/rock/rock_rock.00035.wav,rock,energetic,0,0,3,3
../data/raw/rock/rock_rock.00036.wav,rock,energetic,0,0,3,3
../data/raw/rock/rock_rock.00037.wav,rock,energetic,0,0,3,3
../data/raw/rock/rock_rock.00038.wav,rock,energetic,0,0,3,3
../data/raw/rock/rock_rock.00039.wav,rock,energetic,0,0,3,3
../data/raw/rock/rock_rock.00040.wav,rock,energetic,0,0,3,3
../data/raw/rock/rock_rock.00041.wav,rock,energetic,0,0,3,3
../data/raw/rock/rock_rock.00042.wav,rock,energetic,0,0,3,3
../data/raw/rock/rock_rock.00043.wav,rock,energetic,0,0,3,3
../data/raw/rock/rock_rock.00044.wav,rock,energetic,0,0,3,3
../data/raw/rock/rock_rock.00045.wav,rock,energetic,0,0,3,3
../data/raw/rock/rock_rock.00046.wav,rock,energetic,0,0,3,3
../data/raw/rock/rock_rock.00047.wav,rock,energetic,0,0,3,3
../data/raw/rock/rock_rock.00048.wav,rock,energetic,0,0,3,3
../data/raw/rock/rock_rock.00049.wav,rock,energetic,0,0,3,3
../data/raw/rock/rock_rock.00050.wav,rock,energetic,0,0,3,3
../data/raw/rock/rock_rock.00051.wav,rock,energetic,0,0,3,3
../data/raw/rock/rock_rock.00052.wav,rock,energetic,0,0,3,3
../data/raw/rock/rock_rock.00053.wav,rock,energetic,0,0,3,3
../data/raw/rock/rock_rock.00054.wav,rock,energetic,0,0,3,3
../data/raw/rock/rock_rock.00055.wav,rock,energetic,0,0,3,3
../data/raw/rock/rock_rock.00056.wav,rock,energetic,0,0,3,3
../data/raw/rock/rock_rock.00057.wav,rock,energetic,0,0,3,3
../data/raw/rock/rock_rock.00058.wav,rock,energetic,0,0,3,3
../data/raw/rock/rock_rock.00059.wav,rock,energetic,0,0,3,3
../data/raw/rock/rock_rock.00060.wav,rock,energetic,0,0,3,3
../data/raw/rock/rock_rock.00061.wav,rock,energetic,0,0,3,3
../data/raw/metal/metal_metal.00000.wav,metal,energetic,0,0,3,3
../data/raw/metal/metal_metal.00001.wav,metal,energetic,0,0,3,3
../data/raw/metal/metal_metal.00002.wav,metal,energetic,0,0,3,3
../data/raw/metal/metal_metal.00003.wav,metal,energetic,0,0,3,3
../data/raw/metal/metal_metal.00004.wav,metal,energetic,0,0,3,3
../data/raw/metal/metal_metal.00005.wav,metal,energetic,0,0,3,3
../data/raw/metal/metal_metal.00006.wav,metal,energetic,0,0,3,3
../data/raw/metal/metal_metal.00007.wav,metal,energetic,0,0,3,3
../data/raw/metal/metal_metal.00008.wav,metal,energetic,0,0,3,3
../data/raw/metal/metal_metal.00009.wav,metal,energetic,0,0,3,3
../data/raw/metal/metal_metal.00010.wav,metal,energetic,0,0,3,3
../data/raw/metal/metal_metal.00011.wav,metal,energetic,0,0,3,3
../data/raw/metal/metal_metal.00012.wav,metal,energetic,0,0,3,3
../data/raw/metal/metal_metal.00013.wav,metal,energetic,0,0,3,3
../data/raw/metal/metal_metal.00014.wav,metal,energetic,0,0,3,3
../data/raw/metal/metal_metal.00015.wav,metal,energetic,0,0,3,3
../data/raw/metal/metal_metal.00016.wav,metal,energetic,0,0,3,3
../data/raw/metal/metal_metal.00017.wav,metal,energetic,0,0,3,3
../data/raw/metal/metal_metal.00018.wav,metal,energetic,0,0,3,3
../data/raw/metal/metal_metal.00019.wav,metal,energetic,0,0,3,3
../data/raw/metal/metal_metal.00020.wav,metal,energetic,0,0,3,3
../data/raw/metal/metal_metal.00021.wav,metal,energetic,0,0,3,3
../data/raw/metal/metal_metal.00022.wav,metal,energetic,0,0,3,3
../data/raw/metal/metal_metal.00023.wav,metal,energetic,0,0,3,3
../data/raw/metal/metal_metal.00024.wav,metal,energetic,0,0,3,3
../data/raw/metal/metal_metal.00025.wav,metal,energetic,0,0,3,3
../data/raw/metal/metal_metal.00026.wav,metal,energetic,0,0,3,3
../data/raw/metal/metal_metal.00027.wav,metal,energetic,0,0,3,3
../data/raw/metal/metal_metal.00028.wav,metal,energetic,0,0,3,3
../data/raw/metal/metal_metal.00029.wav,metal,energetic,0,0,3,3
../data/raw/metal/metal_metal.00030.wav,metal,energetic,0,0,3,3
../data/raw/metal/metal_metal.00031.wav,metal,energetic,0,0,3,3
../data/raw/metal/metal_metal.00032.wav,metal,energetic,0,0,3,3
../data/raw/metal/metal_metal.00033.wav,metal,energetic,0,0,3,3
../data/raw/metal/metal_metal.00034.wav,metal,energetic,0,0,3,3
../data/raw/metal/metal_metal.00035.wav,metal,energetic,0,0,3,3
../data/raw/metal/metal_metal.00036.wav,metal,energetic,0,0,3,3
../data/raw/metal/metal_metal.00037.wav,metal,energetic,0,0,3,3
../data/raw/metal/metal_metal.00038.wav,metal,energetic,0,0,3,3
